employer,code,item_key,item,kind,value
DE · Munich,DE,c_median_gap_annual,"(c) Median gender pay gap, annual pay",pct,0.132456
ES · Barcelona,ES,c_median_gap_annual,"(c) Median gender pay gap, annual pay",pct,0.19383
Group,Group,c_median_gap_annual,"(c) Median gender pay gap, annual pay",pct,0.167384
IT · Milan,IT,d_median_gap_components,(d) Median gap in complementary or variable components,pct,0.259804
PL · Kraków,PL,d_median_gap_components,(d) Median gap in complementary or variable components,pct,0.156997
DE · Munich,DE,d_median_gap_components,(d) Median gap in complementary or variable components,pct,0.162016
ES · Barcelona,ES,d_median_gap_components,(d) Median gap in complementary or variable components,pct,0.427252
Group,Group,d_median_gap_components,(d) Median gap in complementary or variable components,pct,0.245902
IT · Milan,IT,e_share_women_receiving,(e) Women receiving complementary or variable components,pct,0.560229
PL · Kraków,PL,e_share_women_receiving,(e) Women receiving complementary or variable components,pct,0.555363
DE · Munich,DE,e_share_women_receiving,(e) Women receiving complementary or variable components,pct,0.545455
ES · Barcelona,ES,e_share_women_receiving,(e) Women receiving complementary or variable components,pct,0.549407
Group,Group,e_share_women_receiving,(e) Women receiving complementary or variable components,pct,0.553873
IT · Milan,IT,e_share_men_receiving,(e) Men receiving complementary or variable components,pct,0.620755
PL · Kraków,PL,e_share_men_receiving,(e) Men receiving complementary or variable components,pct,0.641869
DE · Munich,DE,e_share_men_receiving,(e) Men receiving complementary or variable components,pct,0.634921
ES · Barcelona,ES,e_share_men_receiving,(e) Men receiving complementary or variable components,pct,0.658333
Group,Group,e_share_men_receiving,(e) Men receiving complementary or variable components,pct,0.636153
IT · Milan,IT,base_mean_gap_hourly,"Context: gap on base pay alone, mean hourly",pct,0.17466
PL · Kraków,PL,base_mean_gap_hourly,"Context: gap on base pay alone, mean hourly",pct,0.136001
DE · Munich,DE,base_mean_gap_hourly,"Context: gap on base pay alone, mean hourly",pct,0.125947
ES · Barcelona,ES,base_mean_gap_hourly,"Context: gap on base pay alone, mean hourly",pct,0.17747
Group,Group,base_mean_gap_hourly,"Context: gap on base pay alone, mean hourly",pct,0.153751
IT · Milan,IT,f_q1_share_women,(f) Women in quartile pay band 1 (lowest),pct,0.628788
PL · Kraków,PL,f_q1_share_women,(f) Women in quartile pay band 1 (lowest),pct,0.588235
DE · Munich,DE,f_q1_share_women,(f) Women in quartile pay band 1 (lowest),pct,0.543011
ES · Barcelona,ES,f_q1_share_women,(f) Women in quartile pay band 1 (lowest),pct,0.66129
Group,Group,f_q1_share_women,(f) Women in quartile pay band 1 (lowest),pct,0.60139
IT · Milan,IT,f_q1_share_men,(f) Men in quartile pay band 1 (lowest),pct,0.371212
PL · Kraków,PL,f_q1_share_men,(f) Men in quartile pay band 1 (lowest),pct,0.411765
DE · Munich,DE,f_q1_share_men,(f) Men in quartile pay band 1 (lowest),pct,0.456989
ES · Barcelona,ES,f_q1_share_men,(f) Men in quartile pay band 1 (lowest),pct,0.33871
Group,Group,f_q1_share_men,(f) Men in quartile pay band 1 (lowest),pct,0.39861
IT · Milan,IT,f_q2_share_women,(f) Women in quartile pay band 2,pct,0.51711
PL · Kraków,PL,f_q2_share_women,(f) Women in quartile pay band 2,pct,0.529412
DE · Munich,DE,f_q2_share_women,(f) Women in quartile pay band 2,pct,0.535135
ES · Barcelona,ES,f_q2_share_women,(f) Women in quartile pay band 2,pct,0.544715
Group,Group,f_q2_share_women,(f) Women in quartile pay band 2,pct,0.52907
IT · Milan,IT,f_q2_share_men,(f) Men in quartile pay band 2,pct,0.48289
PL · Kraków,PL,f_q2_share_men,(f) Men in quartile pay band 2,pct,0.470588
DE · Munich,DE,f_q2_share_men,(f) Men in quartile pay band 2,pct,0.464865
ES · Barcelona,ES,f_q2_share_men,(f) Men in quartile pay band 2,pct,0.455285
Group,Group,f_q2_share_men,(f) Men in quartile pay band 2,pct,0.47093
IT · Milan,IT,f_q3_share_women,(f) Women in quartile pay band 3,pct,0.524715
PL · Kraków,PL,f_q3_share_women,(f) Women in quartile pay band 3,pct,0.522491
DE · Munich,DE,f_q3_share_women,(f) Women in quartile pay band 3,pct,0.508108
ES · Barcelona,ES,f_q3_share_women,(f) Women in quartile pay band 3,pct,0.544715
Group,Group,f_q3_share_women,(f) Women in quartile pay band 3,pct,0.523256
IT · Milan,IT,f_q3_share_men,(f) Men in quartile pay band 3,pct,0.475285
PL · Kraków,PL,f_q3_share_men,(f) Men in quartile pay band 3,pct,0.477509
DE · Munich,DE,f_q3_share_men,(f) Men in quartile pay band 3,pct,0.491892
ES · Barcelona,ES,f_q3_share_men,(f) Men in quartile pay band 3,pct,0.455285
Group,Group,f_q3_share_men,(f) Men in quartile pay band 3,pct,0.476744
IT · Milan,IT,f_q4_share_women,(f) Women in quartile pay band 4 (highest),pct,0.315589
PL · Kraków,PL,f_q4_share_women,(f) Women in quartile pay band 4 (highest),pct,0.359862
DE · Munich,DE,f_q4_share_women,(f) Women in quartile pay band 4 (highest),pct,0.372973
ES · Barcelona,ES,f_q4_share_women,(f) Women in quartile pay band 4 (highest),pct,0.300813
Group,Group,f_q4_share_women,(f) Women in quartile pay band 4 (highest),pct,0.340698
IT · Milan,IT,f_q4_share_men,(f) Men in quartile pay band 4 (highest),pct,0.684411
PL · Kraków,PL,f_q4_share_men,(f) Men in quartile pay band 4 (highest),pct,0.640138
DE · Munich,DE,f_q4_share_men,(f) Men in quartile pay band 4 (highest),pct,0.627027
ES · Barcelona,ES,f_q4_share_men,(f) Men in quartile pay band 4 (highest),pct,0.699187
Group,Group,f_q4_share_men,(f) Men in quartile pay band 4 (highest),pct,0.659302
