worker_id,entity,country,site,department,job_level,role,gender,contract_type,work_model,fte,weekly_hours,performance_rating,base_pay,bonus,commission,shift_allowance,car_allowance
W00061,PL · Kraków,PL,Krakow,Sales,L1,Sales L1,M,Fixed-term,Onsite,1.0,40,4,21550,0,4500,0,0
W00062,IT · Milan,IT,Milan,Operations,L5,Operations L5,F,Fixed-term,Remote,1.0,40,3,71050,8620,0,0,6000
W00063,IT · Milan,IT,Milan,Customer Service,L3,Customer Service L3,M,Permanent,Onsite,1.0,40,4,39750,2450,0,1320,0
W00064,IT · Milan,IT,Milan,Operations,L2,Operations L2,F,Permanent,Hybrid,0.8,32,4,21360,0,0,0,0
W00066,PL · Kraków,PL,Krakow,Sales,L3,Sales L3,M,Permanent,Onsite,1.0,40,3,32950,1540,4490,0,0
W00067,IT · Milan,IT,Milan,Customer Service,L3,Customer Service L3,F,Permanent,Hybrid,1.0,40,3,40950,2190,0,0,0
W00068,PL · Kraków,PL,Krakow,Tech,L2,Tech L2,M,Permanent,Onsite,0.8,32,3,26880,0,0,0,0
W00069,IT · Milan,IT,Milan,HR,L3,HR L3,M,Permanent,Remote,1.0,40,4,43150,2670,0,0,0
W00070,ES · Barcelona,ES,Barcelona,Tech,L3,Tech L3,M,Permanent,Onsite,1.0,40,3,59300,2680,0,0,0
W00072,DE · Munich,DE,Munich,Tech,L1,Tech L1,M,Permanent,Remote,1.0,40,5,41350,0,0,0,0
W00073,PL · Kraków,PL,Krakow,Sales,L3,Sales L3,F,Permanent,Onsite,1.0,40,3,30950,1390,2650,0,0
W00074,PL · Kraków,PL,Krakow,Sales,L3,Sales L3,F,Fixed-term,Hybrid,1.0,40,3,30000,1480,5260,0,0
W00075,PL · Kraków,PL,Krakow,Finance,L2,Finance L2,M,Permanent,Hybrid,1.0,40,4,30200,0,0,0,0
W00076,IT · Milan,IT,Milan,Operations,L5,Operations L5,M,Permanent,Onsite,1.0,40,3,79400,9650,0,0,6000
W00077,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Hybrid,1.0,40,3,21350,0,0,0,0
W00078,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,M,Permanent,Hybrid,1.0,40,4,20750,0,0,0,0
W00079,DE · Munich,DE,Munich,Operations,L4,Operations L4,F,Permanent,Hybrid,1.0,40,3,69000,5350,0,0,0
W00081,IT · Milan,IT,Milan,HR,L2,HR L2,F,Fixed-term,Hybrid,0.8,32,3,26720,0,0,0,0
W00082,IT · Milan,IT,Milan,Customer Service,L5,Customer Service L5,M,Permanent,Hybrid,1.0,40,4,70850,10810,0,0,6000
W00083,IT · Milan,IT,Milan,Customer Service,L2,Customer Service L2,M,Permanent,Onsite,1.0,40,1,27650,0,0,1320,0
W00085,DE · Munich,DE,Munich,Customer Service,L3,Customer Service L3,F,Permanent,Hybrid,0.8,32,3,43960,2310,0,0,0
W00086,DE · Munich,DE,Munich,Customer Service,L4,Customer Service L4,F,Permanent,Onsite,1.0,40,2,79200,3130,0,0,0
W00088,IT · Milan,IT,Milan,Tech,L2,Tech L2,M,Permanent,Hybrid,1.0,40,4,38500,0,0,0,0
W00089,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Hybrid,1.0,40,3,21200,0,0,0,0
W00090,ES · Barcelona,ES,Barcelona,Operations,L1,Operations L1,M,Fixed-term,Onsite,1.0,40,3,19600,0,0,1200,0
W00091,DE · Munich,DE,Munich,Customer Service,L2,Customer Service L2,F,Permanent,Onsite,1.0,40,2,43950,0,0,1800,0
W00092,PL · Kraków,PL,Krakow,Sales,L4,Sales L4,F,Permanent,Onsite,1.0,40,2,46500,1930,5130,0,0
W00094,IT · Milan,IT,Milan,Tech,L3,Tech L3,M,Permanent,Hybrid,1.0,40,3,58800,2670,0,0,0
W00095,PL · Kraków,PL,Krakow,Tech,L2,Tech L2,F,Permanent,Hybrid,1.0,40,3,34200,0,0,0,0
W00096,IT · Milan,IT,Milan,Operations,L3,Operations L3,F,Fixed-term,Hybrid,1.0,40,4,41850,2910,0,0,0
W00097,IT · Milan,IT,Milan,HR,L2,HR L2,M,Permanent,Hybrid,1.0,40,3,32950,0,0,0,0
W00098,PL · Kraków,PL,Krakow,Finance,L3,Finance L3,M,Permanent,Hybrid,1.0,40,3,38600,2060,0,0,0
W00099,PL · Kraków,PL,Krakow,HR,L2,HR L2,F,Permanent,Hybrid,1.0,40,3,24450,0,0,0,0
W00100,ES · Barcelona,ES,Barcelona,Sales,L2,Sales L2,F,Permanent,Hybrid,1.0,40,3,33200,0,3190,0,0
W00102,IT · Milan,IT,Milan,Operations,L1,Operations L1,M,Permanent,Hybrid,1.0,40,3,24250,0,0,0,0
W00103,ES · Barcelona,ES,Barcelona,Operations,L2,Operations L2,M,Permanent,Hybrid,1.0,40,4,31200,0,0,0,0
W00104,PL · Kraków,PL,Krakow,Tech,L5,Tech L5,M,Permanent,Hybrid,1.0,40,3,72500,9110,0,0,4200
W00105,PL · Kraków,PL,Krakow,Customer Service,L2,Customer Service L2,M,Fixed-term,Hybrid,1.0,40,2,24950,0,0,0,0
W00106,IT · Milan,IT,Milan,HR,L5,HR L5,F,Permanent,Onsite,1.0,40,3,91750,10500,0,0,6000
W00107,ES · Barcelona,ES,Barcelona,Customer Service,L4,Customer Service L4,F,Fixed-term,Hybrid,1.0,40,3,53750,3770,0,0,0
W00108,PL · Kraków,PL,Krakow,Tech,L2,Tech L2,M,Permanent,Hybrid,1.0,40,4,31800,0,0,0,0
W00111,DE · Munich,DE,Munich,Tech,L2,Tech L2,M,Permanent,Onsite,1.0,40,3,53350,0,0,0,0
W00112,ES · Barcelona,ES,Barcelona,Customer Service,L2,Customer Service L2,F,Permanent,Onsite,1.0,40,3,27850,0,0,1200,0
W00113,DE · Munich,DE,Munich,Operations,L4,Operations L4,M,Fixed-term,Remote,1.0,40,2,77500,3320,0,0,0
W00114,ES · Barcelona,ES,Barcelona,Operations,L4,Operations L4,M,Permanent,Hybrid,1.0,40,3,46900,3550,0,0,0
W00115,IT · Milan,IT,Milan,Customer Service,L2,Customer Service L2,M,Permanent,Remote,1.0,40,3,30450,0,0,0,0
W00116,IT · Milan,IT,Milan,Customer Service,L3,Customer Service L3,F,Permanent,Remote,1.0,40,3,39100,2000,0,0,0
W00117,PL · Kraków,PL,Krakow,Tech,L3,Tech L3,F,Permanent,Onsite,1.0,40,3,41050,2190,0,0,0
W00118,DE · Munich,DE,Munich,Operations,L2,Operations L2,M,Permanent,Onsite,1.0,40,3,46300,0,0,1800,0
W00119,IT · Milan,IT,Milan,Customer Service,L3,Customer Service L3,M,Permanent,Hybrid,1.0,40,4,39500,2540,0,0,0
W00120,IT · Milan,IT,Milan,Finance,L2,Finance L2,M,Fixed-term,Onsite,1.0,40,4,33800,0,0,0,0
W00121,PL · Kraków,PL,Krakow,Operations,L2,Operations L2,F,Permanent,Hybrid,1.0,40,2,21050,0,0,0,0
W00122,PL · Kraków,PL,Krakow,Customer Service,L2,Customer Service L2,F,Permanent,Onsite,1.0,40,4,26700,0,0,840,0
W00123,IT · Milan,IT,Milan,Finance,L6,Finance L6,M,Permanent,Remote,1.0,40,3,103450,20840,0,0,6000
W00124,PL · Kraków,PL,Krakow,Tech,L3,Tech L3,M,Permanent,Hybrid,1.0,40,3,43500,2050,0,0,0
W00125,PL · Kraków,PL,Krakow,Customer Service,L3,Customer Service L3,F,Fixed-term,Hybrid,1.0,40,3,31400,1470,0,0,0
W00126,PL · Kraków,PL,Krakow,Tech,L1,Tech L1,F,Fixed-term,Remote,1.0,40,4,29450,0,0,0,0
W00127,ES · Barcelona,ES,Barcelona,Tech,L2,Tech L2,M,Permanent,Onsite,1.0,40,2,39200,0,0,0,0
W00130,PL · Kraków,PL,Krakow,Sales,L2,Sales L2,F,Permanent,Hybrid,1.0,40,2,25000,0,3320,0,0
W00131,ES · Barcelona,ES,Barcelona,Customer Service,L2,Customer Service L2,M,Permanent,Hybrid,1.0,40,3,31000,0,0,0,0
W00132,IT · Milan,IT,Milan,Customer Service,L3,Customer Service L3,M,Fixed-term,Hybrid,1.0,40,4,38750,2640,0,0,0
W00133,PL · Kraków,PL,Krakow,Sales,L2,Sales L2,F,Permanent,Hybrid,1.0,40,2,27150,0,4930,0,0
W00134,DE · Munich,DE,Munich,Tech,L5,Tech L5,M,Permanent,Onsite,1.0,40,3,151500,18400,0,0,7200
W00135,PL · Kraków,PL,Krakow,Operations,L3,Operations L3,M,Permanent,Remote,1.0,40,2,31550,820,0,0,0
W00136,DE · Munich,DE,Munich,Customer Service,L6,Customer Service L6,M,Permanent,Hybrid,1.0,40,3,138500,25900,0,0,7200
W00137,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Onsite,0.8,32,2,14760,0,0,672,0
W00138,IT · Milan,IT,Milan,Sales,L1,Sales L1,F,Fixed-term,Hybrid,0.8,32,3,20960,0,4190,0,0
W00142,ES · Barcelona,ES,Barcelona,Operations,L1,Operations L1,F,Permanent,Hybrid,1.0,40,4,25950,0,0,0,0
W00143,IT · Milan,IT,Milan,Operations,L3,Operations L3,M,Permanent,Onsite,1.0,40,3,37950,1940,0,1320,0
W00144,IT · Milan,IT,Milan,Finance,L1,Finance L1,F,Permanent,Onsite,1.0,40,3,27100,0,0,0,0
W00145,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Permanent,Remote,1.0,40,4,24750,0,0,0,0
W00146,DE · Munich,DE,Munich,Sales,L1,Sales L1,F,Fixed-term,Hybrid,1.0,40,4,38250,0,4910,0,0
W00147,ES · Barcelona,ES,Barcelona,Operations,L5,Operations L5,M,Permanent,Onsite,1.0,40,5,61500,9580,0,0,5400
W00148,IT · Milan,IT,Milan,Tech,L1,Tech L1,M,Permanent,Hybrid,1.0,40,1,36300,0,0,0,0
W00150,IT · Milan,IT,Milan,Tech,L2,Tech L2,F,Fixed-term,Hybrid,1.0,40,2,36750,0,0,0,0
W00151,DE · Munich,DE,Munich,Sales,L1,Sales L1,M,Fixed-term,Onsite,1.0,40,3,40250,0,5990,0,0
W00152,IT · Milan,IT,Milan,Customer Service,L3,Customer Service L3,F,Permanent,Onsite,1.0,40,4,39450,2660,0,1320,0
W00153,PL · Kraków,PL,Krakow,Sales,L2,Sales L2,F,Permanent,Remote,1.0,40,3,31200,0,3990,0,0
W00154,PL · Kraków,PL,Krakow,Tech,L1,Tech L1,F,Permanent,Onsite,1.0,40,3,27050,0,0,0,0
W00155,PL · Kraków,PL,Krakow,Tech,L2,Tech L2,F,Permanent,Onsite,1.0,40,3,36400,0,0,0,0
W00156,ES · Barcelona,ES,Barcelona,Customer Service,L3,Customer Service L3,F,Permanent,Remote,1.0,40,3,31750,1490,0,0,0
W00157,IT · Milan,IT,Milan,Finance,L3,Finance L3,F,Permanent,Hybrid,1.0,40,4,45350,2500,0,0,0
W00158,ES · Barcelona,ES,Barcelona,Tech,L1,Tech L1,M,Fixed-term,Remote,1.0,40,3,29250,0,0,0,0
W00159,PL · Kraków,PL,Krakow,Operations,L3,Operations L3,F,Permanent,Hybrid,1.0,40,4,29250,1950,0,0,0
W00160,PL · Kraków,PL,Krakow,Operations,L2,Operations L2,M,Permanent,Remote,1.0,40,1,25800,0,0,0,0
W00161,DE · Munich,DE,Munich,Finance,L5,Finance L5,F,Permanent,Remote,1.0,40,3,150550,18010,0,0,7200
W00162,PL · Kraków,PL,Krakow,Finance,L2,Finance L2,M,Permanent,Remote,1.0,40,3,31200,0,0,0,0
W00163,DE · Munich,DE,Munich,Operations,L2,Operations L2,F,Fixed-term,Hybrid,1.0,40,4,44850,0,0,0,0
W00164,IT · Milan,IT,Milan,Sales,L2,Sales L2,M,Permanent,Hybrid,1.0,40,5,36300,0,3880,0,0
W00165,DE · Munich,DE,Munich,Customer Service,L2,Customer Service L2,M,Permanent,Remote,1.0,40,3,41850,0,0,0,0
W00166,IT · Milan,IT,Milan,Tech,L4,Tech L4,F,Permanent,Onsite,1.0,40,1,69650,0,0,0,0
W00167,IT · Milan,IT,Milan,Customer Service,L4,Customer Service L4,F,Permanent,Hybrid,1.0,40,3,46350,3660,0,0,0
W00170,IT · Milan,IT,Milan,Operations,L3,Operations L3,F,Permanent,Remote,1.0,40,3,38150,1870,0,0,0
W00172,IT · Milan,IT,Milan,Sales,L3,Sales L3,M,Permanent,Hybrid,1.0,40,4,44900,2740,5700,0,0
W00173,DE · Munich,DE,Munich,Operations,L3,Operations L3,F,Permanent,Onsite,1.0,40,5,62550,4700,0,1800,0
W00174,IT · Milan,IT,Milan,Sales,L1,Sales L1,M,Permanent,Hybrid,0.8,32,3,18200,0,2620,0,0
W00175,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Onsite,1.0,40,2,20600,0,0,840,0
W00176,ES · Barcelona,ES,Barcelona,Customer Service,L1,Customer Service L1,F,Permanent,Hybrid,1.0,40,3,22350,0,0,0,0
W00177,PL · Kraków,PL,Krakow,Tech,L5,Tech L5,M,Permanent,Hybrid,0.8,32,3,58400,6860,0,0,4200
W00178,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,M,Permanent,Hybrid,1.0,40,2,25600,0,0,0,0
W00180,PL · Kraków,PL,Krakow,Customer Service,L4,Customer Service L4,M,Fixed-term,Hybrid,1.0,40,3,40700,3440,0,0,0
W00181,DE · Munich,DE,Munich,Customer Service,L4,Customer Service L4,F,Permanent,Hybrid,1.0,40,3,74900,5840,0,0,0
W00182,PL · Kraków,PL,Krakow,Operations,L2,Operations L2,F,Permanent,Onsite,1.0,40,3,24750,0,0,840,0
W00183,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Permanent,Hybrid,1.0,40,4,24300,0,0,0,0
W00184,DE · Munich,DE,Munich,HR,L1,HR L1,F,Permanent,Hybrid,1.0,40,4,40650,0,0,0,0
W00185,IT · Milan,IT,Milan,Operations,L2,Operations L2,F,Permanent,Hybrid,1.0,40,3,29950,0,0,0,0
W00186,PL · Kraków,PL,Krakow,HR,L3,HR L3,F,Permanent,Hybrid,1.0,40,1,33050,0,0,0,0
W00187,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Fixed-term,Onsite,1.0,40,3,23350,0,0,1320,0
W00189,DE · Munich,DE,Munich,Operations,L2,Operations L2,F,Fixed-term,Onsite,1.0,40,4,41050,0,0,1800,0
W00190,DE · Munich,DE,Munich,Tech,L6,Tech L6,M,Permanent,Onsite,1.0,40,3,191400,37280,0,0,7200
W00191,IT · Milan,IT,Milan,Tech,L2,Tech L2,F,Permanent,Hybrid,1.0,40,3,38800,0,0,0,0
W00192,PL · Kraków,PL,Krakow,Customer Service,L2,Customer Service L2,M,Permanent,Hybrid,1.0,40,3,22750,0,0,0,0
W00193,PL · Kraków,PL,Krakow,HR,L4,HR L4,M,Fixed-term,Onsite,1.0,40,3,42100,3370,0,0,0
W00194,PL · Kraków,PL,Krakow,Sales,L1,Sales L1,M,Permanent,Hybrid,1.0,40,4,22950,0,3170,0,0
W00195,IT · Milan,IT,Milan,Sales,L2,Sales L2,F,Permanent,Onsite,1.0,40,3,35350,0,4050,0,0
W00196,DE · Munich,DE,Munich,Customer Service,L4,Customer Service L4,M,Fixed-term,Onsite,1.0,40,3,65950,5330,0,0,0
W00197,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,M,Fixed-term,Onsite,1.0,40,3,16550,0,0,840,0
W00198,PL · Kraków,PL,Krakow,Customer Service,L4,Customer Service L4,F,Permanent,Remote,1.0,40,3,40100,3410,0,0,0
W00199,DE · Munich,DE,Munich,Operations,L1,Operations L1,F,Permanent,Hybrid,1.0,40,3,33300,0,0,0,0
W00200,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Permanent,Hybrid,1.0,40,4,20250,0,0,0,0
W00201,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Hybrid,1.0,40,4,17850,0,0,0,0
W00202,DE · Munich,DE,Munich,Tech,L1,Tech L1,F,Permanent,Remote,1.0,40,3,36950,0,0,0,0
W00203,DE · Munich,DE,Munich,Sales,L1,Sales L1,M,Permanent,Hybrid,0.8,32,4,35120,0,3700,0,0
W00205,IT · Milan,IT,Milan,Operations,L2,Operations L2,M,Permanent,Onsite,1.0,40,3,31800,0,0,1320,0
W00206,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,F,Permanent,Onsite,1.0,40,3,20400,0,0,840,0
W00208,DE · Munich,DE,Munich,Tech,L3,Tech L3,M,Permanent,Hybrid,1.0,40,4,78550,4850,0,0,0
W00209,DE · Munich,DE,Munich,Customer Service,L3,Customer Service L3,M,Permanent,Remote,1.0,40,2,50200,1220,0,0,0
W00212,ES · Barcelona,ES,Barcelona,Tech,L1,Tech L1,F,Fixed-term,Onsite,1.0,40,3,30350,0,0,0,0
W00213,IT · Milan,IT,Milan,Tech,L5,Tech L5,M,Permanent,Remote,1.0,40,3,101400,12990,0,0,6000
W00215,PL · Kraków,PL,Krakow,HR,L1,HR L1,M,Permanent,Hybrid,1.0,40,3,19850,0,0,0,0
W00216,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Onsite,1.0,40,2,17850,0,0,840,0
W00217,ES · Barcelona,ES,Barcelona,Customer Service,L1,Customer Service L1,M,Fixed-term,Onsite,1.0,40,4,22200,0,0,1200,0
W00218,IT · Milan,IT,Milan,Operations,L5,Operations L5,F,Permanent,Onsite,1.0,40,4,80550,11860,0,0,6000
W00220,DE · Munich,DE,Munich,Operations,L3,Operations L3,M,Permanent,Onsite,0.8,32,4,51240,2920,0,1440,0
W00222,IT · Milan,IT,Milan,Tech,L2,Tech L2,M,Permanent,Hybrid,1.0,40,4,42400,0,0,0,0
W00223,ES · Barcelona,ES,Barcelona,Finance,L5,Finance L5,M,Permanent,Remote,0.8,32,3,69080,8610,0,0,5400
W00224,IT · Milan,IT,Milan,Operations,L2,Operations L2,M,Permanent,Hybrid,1.0,40,4,34350,0,0,0,0
W00226,DE · Munich,DE,Munich,Tech,L3,Tech L3,F,Fixed-term,Onsite,1.0,40,3,61400,3570,0,0,0
W00227,PL · Kraków,PL,Krakow,Tech,L4,Tech L4,M,Permanent,Remote,1.0,40,4,61850,6140,0,0,0
W00228,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,M,Fixed-term,Hybrid,1.0,40,4,24250,0,0,0,0
W00229,IT · Milan,IT,Milan,Tech,L2,Tech L2,M,Permanent,Hybrid,1.0,40,1,45300,0,0,0,0
W00230,PL · Kraków,PL,Krakow,Customer Service,L1,Customer Service L1,F,Permanent,Hybrid,0.8,32,2,13360,0,0,0,0
W00231,PL · Kraków,PL,Krakow,Customer Service,L3,Customer Service L3,F,Fixed-term,Onsite,1.0,40,4,30200,1690,0,840,0
W00232,PL · Kraków,PL,Krakow,Operations,L1,Operations L1,F,Permanent,Hybrid,1.0,40,3,17200,0,0,0,0
W00233,ES · Barcelona,ES,Barcelona,Operations,L2,Operations L2,F,Permanent,Onsite,1.0,40,3,24750,0,0,1200,0
W00234,PL · Kraków,PL,Krakow,Operations,L4,Operations L4,M,Permanent,Onsite,1.0,40,2,46200,1850,0,0,0
W00235,IT · Milan,IT,Milan,Finance,L2,Finance L2,F,Permanent,Onsite,1.0,40,2,35750,0,0,0,0
W00236,PL · Kraków,PL,Krakow,Tech,L3,Tech L3,M,Permanent,Hybrid,1.0,40,3,42150,2080,0,0,0
W00237,DE · Munich,DE,Munich,Sales,L2,Sales L2,M,Permanent,Hybrid,1.0,40,4,40950,0,5740,0,0
W00238,IT · Milan,IT,Milan,Customer Service,L2,Customer Service L2,M,Permanent,Remote,1.0,40,3,29550,0,0,0,0
W00240,DE · Munich,DE,Munich,Finance,L2,Finance L2,M,Permanent,Remote,1.0,40,3,59850,0,0,0,0
W00241,ES · Barcelona,ES,Barcelona,Sales,L5,Sales L5,M,Permanent,Hybrid,1.0,40,4,83550,12360,11320,0,5400
W00242,PL · Kraków,PL,Krakow,Sales,L1,Sales L1,M,Permanent,Hybrid,1.0,40,2,22900,0,3860,0,0
W00243,ES · Barcelona,ES,Barcelona,Customer Service,L5,Customer Service L5,M,Permanent,Remote,1.0,40,4,71500,11480,0,0,5400
W00245,DE · Munich,DE,Munich,Operations,L2,Operations L2,F,Permanent,Hybrid,1.0,40,2,47700,0,0,0,0
W00246,IT · Milan,IT,Milan,Customer Service,L5,Customer Service L5,F,Fixed-term,Hybrid,1.0,40,3,70900,8990,0,0,6000
W00247,IT · Milan,IT,Milan,Operations,L2,Operations L2,F,Fixed-term,Onsite,0.8,32,3,25480,0,0,1056,0
W00248,IT · Milan,IT,Milan,Customer Service,L1,Customer Service L1,F,Fixed-term,Hybrid,1.0,40,2,25550,0,0,0,0
